# river=shasta model=basin-input/2 input=precipitation+snowmelt+humidity+fog rows=720
# water_year=2025-07-01/2026-06-30 station=USC00045983 station_name=MOUNT_SHASTA,_CA_US
# fog_baseline_mm_day=0.0500 fog_baseline_norm=0.00234763 fog_window_minutes=180-600 fog_source=https://pubs.usgs.gov/of/1975/0568/report.pdf
# units=input_mm_day norm=0..1 scaled=0..200
frame	input_mm_day	norm	scaled	high_variation
645	0.0648	0.003042	0.6083	0
646	0.0629	0.002955	0.5911	0
647	0.0575	0.002701	0.5402	0
648	0.0525	0.002467	0.4934	0
649	0.0512	0.002403	0.4806	0
650	0.1679	0.007883	1.5766	0
651	1.0437	0.049002	9.8004	0
652	2.0455	0.096043	19.2087	0
653	3.7129	0.174328	34.8656	0
654	5.4806	0.257327	51.4655	0
655	7.6935	0.361228	72.2457	0
656	9.3227	0.437724	87.5448	0
657	8.7401	0.410369	82.0738	0
658	8.1169	0.381107	76.2215	1
659	7.3604	0.345588	69.1175	1
660	6.6393	0.311731	62.3462	1
661	6.0199	0.282650	56.5300	1
662	5.4323	0.255060	51.0121	1
663	4.9252	0.231251	46.2502	0
664	4.4464	0.208769	41.7539	0
665	4.0312	0.189276	37.8552	0
666	3.6411	0.170957	34.1914	0
667	3.3011	0.154997	30.9994	0
668	2.9832	0.140070	28.0140	0
669	2.7049	0.127003	25.4006	0
670	2.4459	0.114841	22.9682	0
671	2.2180	0.104142	20.8285	0
672	2.0070	0.094233	18.8465	0
673	1.8204	0.085474	17.0947	0
674	1.6485	0.077399	15.4799	0
675	1.4957	0.070228	14.0456	0
676	1.3896	0.065246	13.0491	0
677	1.3391	0.062874	12.5747	0
678	1.2571	0.059026	11.8052	0
679	1.1413	0.053585	10.7169	0
